id,prompt,score,chars,words,4sqrt_words,avg_word_len,words_gr5,words_gr6,words_gr7,words_gr8,diff_words,long_words,spell_err,uniq_words,nouns,verbs,adj,adv,stop_words,sentences,avg_sentence_len,exclamations,questions,commas
0,1,0.6,1870,350,4.3253077270721105,4.231428571428571,75,60,34,13,2,75,11,164,77,43,27,8,186,16,21.125,4,2,18
1,1,0.7,2274,423,4.53508145474843,4.297872340425532,105,80,53,26,9,105,14,190,103,64,24,10,201,20,20.95,1,1,12
2,1,0.5,1529,283,4.10153676580629,4.318021201413427,78,52,32,19,7,78,1,144,74,36,18,3,149,14,19.928571428571427,0,0,9
3,1,0.8,3067,530,4.798096379444944,4.69622641509434,160,120,84,52,4,160,23,228,140,76,36,13,257,27,19.40740740740741,2,1,13
4,1,0.6,2564,473,4.663535479754769,4.3276955602537,127,87,57,34,3,127,13,197,117,63,24,13,243,30,15.5,0,0,13
5,1,0.6,1264,247,3.9643705232359037,4.032388663967612,45,36,23,12,4,45,9,122,45,26,19,8,145,15,16.4,1,2,3
6,1,0.8,2793,508,4.747510435919998,4.368110236220472,138,84,45,22,6,138,3,217,126,63,30,23,255,30,16.633333333333333,0,4,35
7,1,0.8,2710,508,4.747510435919998,4.228346456692913,110,70,54,35,3,110,2,200,133,72,36,14,247,39,12.35897435897436,1,3,11
8,1,0.7,2397,451,4.608335988357978,4.17960088691796,98,69,46,20,5,98,5,207,110,52,37,14,231,35,12.628571428571428,1,6,16
9,1,0.7,2618,519,4.773004452102369,3.9653179190751446,106,60,33,18,14,106,11,207,108,58,41,19,289,26,19.307692307692307,0,2,14
10,1,0.6,1947,330,4.262147595354359,4.784848484848485,123,74,50,25,12,123,3,199,86,42,29,17,150,22,14.772727272727273,1,1,13
11,1,0.6,2163,400,4.47213595499958,4.345,98,79,45,30,3,98,37,152,93,48,37,11,205,25,15.68,0,0,0
12,1,0.5,1005,204,3.7792667089113596,3.9019607843137254,32,20,14,6,4,32,24,119,44,27,17,7,106,6,34.0,0,0,0
13,1,0.4,1618,307,4.185858988061498,4.188925081433225,68,48,30,10,5,68,37,124,86,31,38,9,136,25,12.28,0,0,0
14,1,0.4,991,177,3.647483337268324,4.480225988700565,49,33,25,10,2,49,7,93,54,19,14,5,80,13,13.538461538461538,0,0,7
15,1,1.0,3145,534,4.8071238819675415,4.771535580524344,180,107,72,47,6,180,21,242,158,78,43,13,232,35,15.085714285714285,0,1,23
16,1,0.6,1802,347,4.3160092690119605,4.086455331412104,82,44,31,14,3,82,10,140,70,43,25,8,195,18,18.61111111111111,0,1,18
17,1,0.6,1957,374,4.39762203989994,4.120320855614973,80,47,34,12,3,80,8,164,77,45,23,21,203,15,24.466666666666665,0,0,26
18,1,0.2,362,66,2.8502698827717983,4.409090909090909,14,11,10,9,0,14,35,52,24,6,11,1,24,7,9.428571428571429,0,0,0
19,1,0.4,858,158,3.5453920925585276,4.3164556962025316,42,28,18,14,2,42,7,94,49,16,14,4,71,11,14.181818181818182,2,0,3
20,1,0.6,2043,368,4.379877406189684,4.456521739130435,95,74,46,32,3,95,13,179,82,40,29,25,189,20,18.35,0,1,14
21,1,0.1,315,56,2.7355647997347607,4.607142857142857,17,7,5,2,0,17,1,38,20,5,2,0,26,2,28.0,0,0,0
22,1,0.8,2819,530,4.798096379444944,4.239622641509434,124,91,54,15,14,124,10,204,110,75,34,14,290,30,17.366666666666667,0,2,11
23,1,0.9,3178,575,4.896851806677796,4.356521739130435,145,95,59,32,10,145,9,231,141,78,42,23,277,39,14.333333333333334,10,1,42
24,1,0.6,1665,296,4.147848904442549,4.533783783783784,91,63,41,12,10,91,3,128,73,36,19,13,148,16,18.3125,0,0,10
25,1,0.7,1974,362,4.361914440981213,4.301104972375691,96,64,41,11,3,96,10,161,83,49,23,8,196,22,16.363636363636363,8,2,23
26,1,0.2,642,122,3.3234561855374687,4.147540983606557,21,17,14,8,1,21,8,66,30,12,8,2,67,7,17.142857142857142,0,0,6
27,1,0.7,2046,362,4.361914440981213,4.524861878453039,95,71,47,24,2,95,12,184,92,55,34,11,158,28,12.857142857142858,2,0,16
28,1,0.7,2046,378,4.409333520524795,4.283068783068783,94,60,36,23,4,94,13,156,87,36,27,12,209,23,16.17391304347826,2,1,22
29,1,0.6,1413,264,4.030890324639449,4.268939393939394,66,44,28,19,2,66,0,119,59,38,23,13,125,15,17.133333333333333,0,0,6
30,1,0.8,2571,484,4.69041575982343,4.146694214876033,105,80,41,31,7,105,9,218,97,61,36,19,257,34,13.882352941176471,3,4,30
31,1,0.8,2732,499,4.726341915656196,4.332665330661323,129,90,50,33,8,129,4,209,114,60,38,20,257,36,13.666666666666666,3,4,26
32,1,0.4,909,167,3.594836294370035,4.323353293413174,42,26,15,8,5,42,4,96,41,22,17,4,79,12,13.916666666666666,0,0,7
33,1,0.6,1874,370,4.385816236650978,3.9513513513513514,77,59,35,12,5,77,14,164,86,52,29,10,187,26,13.923076923076923,1,0,15
34,1,0.7,2279,421,4.529711307432648,4.280285035629453,97,60,40,23,18,97,2,162,93,63,35,14,211,33,12.515151515151516,1,3,22
35,1,0.8,2961,547,4.836117360760903,4.294332723948812,128,82,57,32,14,128,3,226,103,54,51,17,315,24,22.583333333333332,4,4,35
36,1,1.0,2640,491,4.707283697225008,4.260692464358452,123,83,45,23,5,123,21,230,109,71,45,16,239,31,15.741935483870968,2,2,25
37,1,0.6,1870,352,4.3314735413359875,4.2272727272727275,90,67,46,21,5,90,6,157,84,40,27,12,184,17,20.705882352941178,0,0,7
38,1,0.8,2379,446,4.59550999149636,4.266816143497758,111,67,40,17,8,111,14,199,122,49,42,16,211,22,20.227272727272727,1,0,7
39,1,0.5,1017,194,3.732075599071396,4.139175257731959,50,31,23,13,10,50,5,108,62,15,13,0,102,15,12.666666666666666,0,0,3
40,1,0.0,220,41,2.530439534435243,4.317073170731708,11,7,5,4,0,11,0,30,12,7,2,0,20,3,13.666666666666666,0,0,0
41,1,0.6,1471,285,4.1087641713943786,4.112280701754386,60,36,21,7,2,60,12,127,58,27,23,13,157,14,20.142857142857142,0,0,0
42,1,0.4,774,143,3.4580718244567157,4.335664335664336,38,29,16,9,6,38,3,81,41,17,7,3,73,8,17.5,0,0,2
